"subject","region","epoch","eyeState","CpLoc_delta","CpLoc_theta","CpLoc_alpha","CpLoc_beta_smr","CpLoc_beta","CpLoc_gamma"
"010005",5,1,0,"[10]","[4,15,20]","[16]","[11,20,21,22,23,24,26,26,27]","[5,8,10,11,12,14,16,16,17,18,19,19,20,20,21,21,22,23,24,25,26,26,27]","[13,16,19,20,20,20,23]"
"010005",6,1,0,"[]","[11,20,24]","[5,8,9,9,11,13,14,14,14,14,17,23]","[6,8,8,11,25]","[3,3,3,4,5,5,6,6,8,11,13,17,17,18,20,21,27,27,27]","[8]"
"010005",7,1,0,"[]","[17]","[16,22]","[3,6,7,12,13,15]","[]","[]"
"010005",1,2,0,"[]","[4]","[27]","[5,8,11,15,15,16,17,18,19,19,19,19,21,24,25,27]","[]","[10,27]"
"010005",2,2,0,"[6,17]","[3,3,3,3,4,6,6,6,6,8,9,20]","[6,6,23,24]","[5,6,6,9,9,9,10,12,14,17,17,19,20,21,24,25,27,27,27]","[]","[9,11,12,17,21,21,26]"
"010005",3,2,0,"[20,27]","[]","[24]","[8,11,19,19,19]","[]","[10]"
"010005",4,2,0,"[]","[]","[]","[22]","[26]","[]"
"010005",5,2,0,"[22]","[]","[]","[20,21,24]","[16]","[5,13,17,17,18,22,26,27,27]"
"010005",6,2,0,"[9,16,16]","[20]","[]","[6]","[]","[3]"
"010005",7,2,0,"[8,10]","[3]","[]","[7]","[]","[]"
"010005",1,3,0,"[10]","[17,20,23,23]","[8,17]","[19]","[8,10,11,11,13,13,14,16,26,26]","[3,4,4,5,5,5,17,18,21]"
"010005",2,3,0,"[5,6,7,10]","[6,21]","[9,17,17]","[3,3,7,9,10,18,20,24]","[13,13,13,21,21,22,24,27,27,27]","[3,3,3,4,4,4,4,6,6,14,17,20]"
"010005",3,3,0,"[]","[]","[3]","[3,7,7,15,18,22,24,25]","[4,22]","[3,3,5,7,8,8,10,11]"
"010005",4,3,0,"[]","[10,17,24]","[]","[4,5]","[7,7,10,10,14,14,14,14,16,21]","[4,4,4,5,5,12,16,21,22,25,26]"
"010005",5,3,0,"[4,5,25]","[17]","[25,26]","[7,13,14,20,20]","[6,7,8,8,9,9,11,11,12,14,15,17,20,21,22]","[3,4,5,11,12,17,17]"
"010005",6,3,0,"[4,7,7]","[]","[27]","[10,27]","[3,14]","[11,24,27]"
"010005",7,3,0,"[3,6,8]","[]","[27,27]","[3,4,4,5,5,5,6,6,18,21,24,24,24,24,27,27]","[3,4,6,7,7,8,8,9,13,14,14,15,19,21,23,27,27,27]","[11,12,27,27,27,27]"
"010005",1,4,0,"[3,23]","[6,26]","[6,6,6,7,9,15,19,20,21,23,25]","[13]","[11,11,11,18,25]","[]"
"010005",2,4,0,"[3,21]","[3,4,10,12,15,21,26,27]","[3,4,6,6,11,12,19,23,24,25,26,27]","[3,5,6,10,14,19,20,24]","[8,13,13,16,17,18,21,21,23,24,26]","[18,25,25]"
"010005",3,4,0,"[3,5,5,6,15]","[16]","[6,6]","[9,11]","[3,18,21,21,23,24,27,27]","[3,11,24,27]"
"010005",4,4,0,"[]","[6]","[6,8,9]","[18,22,22,25,27,27]","[13,17,23,24]","[3]"
"010005",5,4,0,"[3,10]","[21]","[3,9,9,9,10,10,11,12,15,17,17,18,19,21,27]","[14,17,18,21,21,22,22,24,25,27]","[6,7,10,14,15,17,19,24]","[6,6,26,27,27]"
"010005",6,4,0,"[3,5,16,21,21,23,25]","[8]","[]","[9,9,10,12]","[3,3,5,8,11,14,17,17,19,23,23]","[14,26]"
"010005",7,4,0,"[11,17,23,25]","[11,13,21]","[7,7,10,10,11,13,14,21,24]","[9,26]","[3,3,4,5,8,10,11,12,14,14,15,16,17,18]","[14,26]"
"010005",1,5,0,"[3,3]","[3]","[]","[3,3,4,6,8,9,12,13,13,15,18,18]","[3,4,6,12]","[16]"
"010005",2,5,0,"[4,13,18,21,25,27]","[3,3,5,10,13,19,22,25]","[]","[3,3,3,3,6,6,6,7,9,9,9,9,11,19,24,26,26,26]","[3,4,18,22,24,27]","[16,18,19]"
"010005",3,5,0,"[5,10,13]","[13]","[17,18]","[3,3,3,4,4,6,7,7,8,8,10,10,10,11,13,14,14,15,17,17,20,21,21,21,23,24,26,26,27,27,27]","[3,24]","[]"
"010005",4,5,0,"[]","[8,9,24]","[]","[4,12,12]","[17]","[15,19]"
"010005",5,5,0,"[23,26]","[5,8]","[12]","[3,4,18,22,25]","[]","[4,9,12,15,19]"
"010005",6,5,0,"[10,21]","[3,5,9,9,12,13,14,17,25,25]","[3,9,11,13,13,13,16,25,27]","[3,3,3,4,4,4,6,6,7,8,11,15,16,18,20,21,21,22,24,24]","[]","[4,10,15]"
"010005",7,5,0,"[25,27]","[4,6,8,9,10,10,12,15,26]","[12,12,13,17]","[8,12,12,12,12,14,15,19,22,26]","[12,12,15,17]","[8,9,10,10,12,12,12,14,15,15,15,18,18,18,18,19,22,22,24,27]"
"010005",1,6,0,"[]","[8,8,18,19,22,23]","[8,8,26]","[5,5,7,8,8,8,10,10,16,21,22]","[4,5,5,7,8,8,8,13,26,26,26]","[8,8,12,12,12,12,13]"
"010005",2,6,0,"[24,24,27]","[8,10,11,12,24]","[3,3,4,14,27]","[4,5,5,6,6,7,7,8,9,10,11,18,19,20,22,22,22,22,23,25,27]","[3,3,6,9,26,26,27,27]","[6,7,9,12,12,13,15,16,17,17,19,22]"
"010005",3,6,0,"[]","[9,9,9,10,11]","[3,6,14,22]","[3,3,5,7,10,10]","[3,6,6,9,9,10,12,13,14,19,22,26]","[7,9,11,12,16,17]"
"010005",4,6,0,"[17]","[3]","[]","[8,9,24,24,25,27]","[3,5,5,6,7,8,9,13,25]","[10,11,12,13]"
"010005",5,6,0,"[3,5,6,7,8,8,10,10,12,14,14,14,15,16,17,18,19,19,22,24,25,26,27]","[3,7,10,20,23,27]","[]","[5,10,13,13,23]","[14,26,27]","[10,10,13,15]"
"010005",6,6,0,"[3,7,7,10,12,13,14,16,18,21,24,24,25,25,26]","[5,8,8,8,9,13,17,27]","[5,14,15,15]","[3,3,8,8]","[4,5,5,5,6]","[5,8,8,11,11,12,15,15]"
"010005",7,6,0,"[3,4,4,7,8,9,15,21,24,24,25,25,27,27]","[3,3,7,8,12,19]","[6]","[8]","[5,7,8,12]","[5,9,9,11,12]"
"010005",1,7,0,"[7,23,26]","[4,7]","[12,21]","[3,3,4,4,6,6,6,7,9,10,10,14,14,18,18,18,20,22,22,23,25,25,26]","[7,8,9,10,12,14,15,27,27]","[7,18]"
"010005",2,7,0,"[5,15,18,20]","[3,24,27]","[16,16,19,27]","[4,5,5,6,8,8,10,12,12,12,14,16,16,18,19,19,21,21,22,23,24,24,24,25,27]","[3,7,13,15,16,19,22]","[12,12,13,18]"
"010005",3,7,0,"[11]","[]","[]","[12,12,14,26]","[6,17,17,20,23,23]","[9,27]"
"010005",4,7,0,"[22,27]","[12,20,27]","[16]","[9,11,14,15,15,19,22,25,25]","[4,5,9,9,14,18,22,24,27]","[7,10,15,17,27]"
"010005",5,7,0,"[3,3,3,4,6,21,27]","[6,17,18,18,20,21,27,27,27]","[4,9,21]","[3,9,14,22,24,25]","[16,22,22,24]","[3,3,3,4,6,7,7,7,9,9,11,12,13,13,14,14,15,15,15,18,18,19,21,23,26,26,27,27,27]"
"010005",6,7,0,"[23,27]","[5,13,16,16,18,19,20,20,23,27]","[19]","[3,4,7,8,8,11,14,16]","[8,12,20,23]","[4,9,10,11,11,14,23,27]"
"010005",7,7,0,"[27]","[4,9,13,16,19,21,21,24,26,26,27]","[27]","[3,3,7,9]","[13,18,22]","[6,10,11]"
"010005",1,8,0,"[3,6,6,6,9,9,12,12]","[3,11,25,27,27,27]","[5,21,21,22,24,27]","[]","[22,24,27]","[3,3,6,8,14,16,16,17,19,19,21,22]"
