"subject","region","epoch","eyeState","nCp_delta","nCp_theta","nCp_alpha","nCp_beta_smr","nCp_beta","nCp_gamma"
"010005",1,7,1,0,0,2,4,10,7
"010005",2,7,1,0,7,1,14,6,13
"010005",3,7,1,2,4,3,15,18,15
"010005",4,7,1,4,0,5,2,16,22
"010005",5,7,1,8,3,2,9,2,34
"010005",6,7,1,4,1,5,15,13,22
"010005",7,7,1,1,0,2,21,15,22
"010005",1,8,1,0,0,0,0,0,0
"010005",2,8,1,0,0,0,0,2,6
"010005",3,8,1,1,0,3,0,6,6
"010005",4,8,1,0,0,0,0,3,0
"010005",5,8,1,0,0,1,2,4,6
"010005",6,8,1,1,0,9,17,5,11
"010005",7,8,1,1,0,1,4,4,5
"010005",1,1,0,0,0,0,4,1,2
"010005",2,1,0,0,0,1,4,2,3
"010005",3,1,0,2,0,0,1,2,0
"010005",4,1,0,0,0,0,4,8,1
"010005",5,1,0,4,0,2,3,22,1
"010005",6,1,0,2,0,1,2,2,0
"010005",7,1,0,2,0,0,2,2,0
"010005",1,2,0,0,0,0,15,0,3
"010005",2,2,0,4,1,7,24,1,4
"010005",3,2,0,1,0,0,7,1,0
"010005",4,2,0,0,0,0,0,0,0
"010005",5,2,0,7,0,2,5,0,2
"010005",6,2,0,0,0,0,0,1,1
"010005",7,2,0,4,1,0,2,3,3
"010005",1,3,0,0,1,1,15,5,1
"010005",2,3,0,2,0,1,38,10,9
"010005",3,3,0,0,2,0,9,0,4
"010005",4,3,0,0,1,0,4,21,3
"010005",5,3,0,1,1,1,6,5,7
"010005",6,3,0,0,0,0,6,11,1
"010005",7,3,0,5,3,3,8,36,11
"010005",1,4,0,2,0,4,1,1,0
"010005",2,4,0,2,2,0,5,0,0
"010005",3,4,0,1,1,4,1,0,0
"010005",4,4,0,0,1,1,2,0,0
"010005",5,4,0,0,3,8,7,0,13
"010005",6,4,0,2,1,0,3,2,0
"010005",7,4,0,0,4,0,0,0,0
"010005",1,5,0,0,1,1,8,2,2
"010005",2,5,0,1,3,0,19,7,8
"010005",3,5,0,6,1,4,21,6,3
"010005",4,5,0,1,3,0,2,1,2
"010005",5,5,0,0,1,0,3,1,3
"010005",6,5,0,2,1,1,19,3,1
"010005",7,5,0,1,5,0,16,1,1
"010005",1,6,0,2,1,2,3,8,7
"010005",2,6,0,2,2,7,22,6,11
"010005",3,6,0,8,0,0,29,4,3
"010005",4,6,0,2,0,0,4,14,6
"010005",5,6,0,11,8,9,10,2,14
"010005",6,6,0,15,1,3,12,2,6
"010005",7,6,0,3,0,0,2,2,6
